卫视,#genre#
内蒙古卫视,http://112.50.243.8/PLTV/88888888/224/3221225846/1.m3u8#http://116.199.5.51:8114/index.m3u8?Fsv_chan_hls_se_idx=17&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8#http://144.48.240.144:2019/SunTv.php?name=NeiMengGuTV#http://ivi.bupt.edu.cn/hls/nmtv.m3u8
北京卫视,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/2000272102.m3u8#http://144.48.240.144:2019/SunTv.php?name=BTV1HD
天津卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000295101.m3u8#http://144.48.240.144:2019/SunTv.php?name=TianJinHD
重庆卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000297801.m3u8#http://144.48.240.144:2019/SunTv.php?name=ChongQingHD
东方卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000292403.m3u8#http://144.48.240.144:2019/SunTv.php?name=SHDongFangHD
东南卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000292501.m3u8#http://144.48.240.144:2019/SunTv.php?name=DongNanHD
厦门卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/cstv/xiamen_2/index.m3u8#http://144.48.240.144:2019/SunTv.php?name=XiaMenTV#http://ivi.bupt.edu.cn/hls/xmtv.m3u8
黑龙江卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000293903.m3u8#http://144.48.240.144:2019/SunTv.php?name=HeiLongJiangHD
广东卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000292703.m3u8#http://144.48.240.144:2019/SunTv.php?name=GuangDongHD
南方卫视,http://nclive.grtn.cn/tvs2/sd/live.m3u8#http://144.48.240.144:2019/SunTv.php?name=SouthTV
深圳卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000292203.m3u8#http://144.48.240.144:2019/SunTv.php?name=ShenZhenHD
江苏卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000295603.m3u8
浙江卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000295503.m3u8#http://144.48.240.144:2019/SunTv.php?name=ZheJiangTV
海南卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000291503.m3u8#http://144.48.240.144:2019/SunTv.php?name=TravelTVHD
山东卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000294801.m3u8#http://144.48.240.144:2019/SunTv.php?name=ShanDongHD
山东教育卫视,http://cctvalih5ca.v.myalicdn.com/cstv/sdetv_2/index.m3u8
江西卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000294101.m3u8#http://144.48.240.144:2019/SunTv.php?name=JiangXiHD
湖北卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000294501.m3u8#http://144.48.240.144:2019/SunTv.php?name=HuBeiHD
河南卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000296101.m3u8#http://144.48.240.144:2019/SunTv.php?name=HeNanHD
河北卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000293401.m3u8#http://144.48.240.144:2019/SunTv.php?name=HeBeiHD
贵州卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000293301.m3u8#http://144.48.240.144:2019/SunTv.php?name=GuiZhouTV
广西卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000294201.m3u8
四川卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000295001.m3u8#http://144.48.240.144:2019/SunTv.php?name=SiChuanTVHD
四川康巴卫视,http://by4.nty.tv189.cn/live/tm-kangbatv-800k.m3u8#http://144.48.240.144:2019/SunTv.php?name=KangBaTV
湖南卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000296203.m3u8#http://144.48.240.144:2019/SunTv.php?name=HuNanHD
辽宁卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000281301.m3u8#http://144.48.240.144:2019/SunTv.php?name=LiaoNingHD
安徽卫视,http://120.204.20.147:80/tlivecloud-cdn.ysp.cctv.cn/2000298001.m3u8#http://144.48.240.144:2019/SunTv.php?name=AnHuiHD
吉林卫视,http://cctvalih5ca.v.myalicdn.com/wstv/jilin_2/index.m3u8#http://144.48.240.144:2019/SunTv.php?name=JiLinTV
延边卫视,http://live.ybtvyun.com/video/s10006-cys-sd/index.m3u8#http://144.48.240.144:2019/SunTv.php?name=CYS#http://ivi.bupt.edu.cn/hls/ybtv.m3u8
西藏卫视,http://cctvalih5ca.v.myalicdn.com/wstv/xizang_2/index.m3u8#http://ivi.bupt.edu.cn/hls/xztv.m3u8
兵团卫视,http://v.btzx.com.cn:1935/live/weishi.stream/playlist.m3u8#http://144.48.240.144:2019/SunTv.php?name=BingTuanTV#http://ivi.bupt.edu.cn/hls/bttv.m3u8
兵团新闻,http://v.btzx.com.cn:1935/live/news.stream/playlist.m3u8
海峡卫视,http://144.48.240.144:2019/SunTv.php?name=HaiXiaTV
康巴卫视,http://144.48.240.144:2019/SunTv.php?name=KangBaTV
南方卫视地面波,http://144.48.240.144:2019/SunTv.php?name=TVSCity
陕西农林,http://144.48.240.144:2019/SunTv.php?name=Shan3XiNL
中国黄河频道,http://144.48.240.144:2019/SunTv.php?name=ChinaHuangHe
动漫秀场HD,http://144.48.240.144:2019/SunTv.php?name=DongManXCHD
广东嘉佳卡通,http://144.48.240.144:2019/SunTv.php?name=GDKT
广州少儿,http://144.48.240.144:2019/SunTv.php?name=GZChild
CETV2,http://144.48.240.144:2019/SunTv.php?name=CETV2
CETV1,http://144.48.240.144:2019/SunTv.php?name=CETV1
卡酷少儿,http://144.48.240.144:2019/SunTv.php?name=KAKU
空中课堂,http://144.48.240.144:2019/SunTv.php?name=CETVSky
山西少儿,http://144.48.240.144:2019/SunTv.php?name=Shan1XiChild
北京纪实,http://144.48.240.144:2019/SunTv.php?name=BTVJiShiHD
北京文艺HD,http://144.48.240.144:2019/SunTv.php?name=BTV2HD
BTV北京国际,http://144.48.240.144:2019/SunTv.php?name=BTVWorld
BTV财经,http://144.48.240.144:2019/SunTv.php?name=BTV5
BTV冬奥纪实,http://144.48.240.144:2019/SunTv.php?name=BTVJiShi
BTV科教,http://144.48.240.144:2019/SunTv.php?name=BTV3
BTV文艺,http://144.48.240.144:2019/SunTv.php?name=BTV2
BTV影视,http://144.48.240.144:2019/SunTv.php?name=BTV4
安徽公共,http://144.48.240.144:2019/SunTv.php?name=AnHuiPublic
安徽国际,http://144.48.240.144:2019/SunTv.php?name=AnHuiWorld
安徽经济,http://144.48.240.144:2019/SunTv.php?name=AnHuiFinance
安徽科教,http://144.48.240.144:2019/SunTv.php?name=AnHuiEdu
安徽人物,http://144.48.240.144:2019/SunTv.php?name=AnHuiPeople
广东公共,http://144.48.240.144:2019/SunTv.php?name=GDPublic
广东经济科教,http://144.48.240.144:2019/SunTv.php?name=TVSFinance
广东南方全国版,http://144.48.240.144:2019/SunTv.php?name=SouthTV
广东南方省内版,http://144.48.240.144:2019/SunTv.php?name=TVSCity
广东少儿,http://144.48.240.144:2019/SunTv.php?name=TVSChild
广东体育,http://144.48.240.144:2019/SunTv.php?name=GDSport
广东新闻,http://144.48.240.144:2019/SunTv.php?name=GDNews
广东影视,http://144.48.240.144:2019/SunTv.php?name=TVSMovie
广东珠江,http://144.48.240.144:2019/SunTv.php?name=GDZhuJiang
广西都市,http://144.48.240.144:2019/SunTv.php?name=GuangXiCity
广西综艺,http://144.48.240.144:2019/SunTv.php?name=GuangXiZongYi
广州经济,http://144.48.240.144:2019/SunTv.php?name=GZFinance
广州竞赛,http://144.48.240.144:2019/SunTv.php?name=GZJingSai
广州生活,http://144.48.240.144:2019/SunTv.php?name=GZEnglish
广州新闻,http://144.48.240.144:2019/SunTv.php?name=GZNews
广州影视,http://144.48.240.144:2019/SunTv.php?name=GZMovie
广州综合,http://144.48.240.144:2019/SunTv.php?name=GZTV
贵阳经济生活频道,http://144.48.240.144:2019/SunTv.php?name=GuiYangJingJi
河南都市,http://144.48.240.144:2019/SunTv.php?name=HeNanCity
河南国际,http://144.48.240.144:2019/SunTv.php?name=HeNanWorld
湖北公共新闻频道,http://144.48.240.144:2019/SunTv.php?name=HuBeiXinWen
湖南电视剧,http://144.48.240.144:2019/SunTv.php?name=HuNanTeleplay
湖南公共,http://144.48.240.144:2019/SunTv.php?name=HuNanPublic
湖南国际,http://144.48.240.144:2019/SunTv.php?name=HuNanWorld
湖南金鹰卡通,http://144.48.240.144:2019/SunTv.php?name=HuNanKT
湖南经视,http://144.48.240.144:2019/SunTv.php?name=HuNanFinance
湖南娱乐,http://144.48.240.144:2019/SunTv.php?name=HuNanYuLe
长沙互动,http://144.48.240.144:2019/SunTv.php?name=ChangShaHuDong
长沙经贸,http://144.48.240.144:2019/SunTv.php?name=ChangShaFinance
长沙女性,http://144.48.240.144:2019/SunTv.php?name=ChangShaWomen
长沙新闻,http://144.48.240.144:2019/SunTv.php?name=ChangShaNews
长沙政法,http://144.48.240.144:2019/SunTv.php?name=ChangShaZhengFa
欢笑剧场HD,http://144.48.240.144:2019/SunTv.php?name=HuanXiaoJCHD
黄河新闻,http://144.48.240.144:2019/SunTv.php?name=HuangHeNews
江苏城市,http://144.48.240.144:2019/SunTv.php?name=JiangSuCity
江苏公共,http://144.48.240.144:2019/SunTv.php?name=JiangSuPublic
江苏国际,http://144.48.240.144:2019/SunTv.php?name=JiangSuWorld
江苏教育,http://144.48.240.144:2019/SunTv.php?name=JiangSuEdu
江苏体育,http://144.48.240.144:2019/SunTv.php?name=JiangSuTiYu
江苏影视,http://144.48.240.144:2019/SunTv.php?name=JiangSuMovie
江阴民生,http://144.48.240.144:2019/SunTv.php?name=JiangYinMinSheng
江阴新闻综合,http://144.48.240.144:2019/SunTv.php?name=JiangYinNews
魅力音乐HD,http://144.48.240.144:2019/SunTv.php?name=MeiLiYYHD
青海都市频道,http://144.48.240.144:2019/SunTv.php?name=QingHaiCity
青海生活频道,http://144.48.240.144:2019/SunTv.php?name=QingHaiLife
厦门国际,http://144.48.240.144:2019/SunTv.php?name=XiaMenWorld
山东国际,http://144.48.240.144:2019/SunTv.php?name=TaiShanTV
山东教育电视,http://144.48.240.144:2019/SunTv.php?name=SDETV
山西经济,http://144.48.240.144:2019/SunTv.php?name=Shan1XiFinance
山西科教,http://144.48.240.144:2019/SunTv.php?name=Shan1XiEdu
山西影视,http://144.48.240.144:2019/SunTv.php?name=Shan1XiFilm
上海第一财经,http://144.48.240.144:2019/SunTv.php?name=CBN
上海电视剧HD,http://144.48.240.144:2019/SunTv.php?name=SHTeleplayHD
上海国际,http://144.48.240.144:2019/SunTv.php?name=ICS
上海极速汽车,http://144.48.240.144:2019/SunTv.php?name=ChannelMax
上海纪实,http://144.48.240.144:2019/SunTv.php?name=SHJiShiHD
上海体育HD,http://144.48.240.144:2019/SunTv.php?name=SHSportHD
劲爆体育HD,http://144.48.240.144:2019/SunTv.php?name=JinBaoSportHD
新视觉HD,http://144.48.240.144:2019/SunTv.php?name=XSJHD
上海新闻综合HD,http://144.48.240.144:2019/SunTv.php?name=SHNewsHD
上海新娱乐,http://144.48.240.144:2019/SunTv.php?name=DongFangYuLe
上海炫动卡通,http://144.48.240.144:2019/SunTv.php?name=TOONMAXTV
第一财经HD,http://144.48.240.144:2019/SunTv.php?name=CBNHD
全纪实HD,http://144.48.240.144:2019/SunTv.php?name=QuanJiShiHD
深圳国际,http://144.48.240.144:2019/SunTv.php?name=ShenZhenWorld
成都都市生活,http://144.48.240.144:2019/SunTv.php?name=ChengDuDuShi
成都经济资讯,http://144.48.240.144:2019/SunTv.php?name=ChengDuJingJi
成都少儿频道,http://144.48.240.144:2019/SunTv.php?name=ChengDuShaoEr
天津都市,http://144.48.240.144:2019/SunTv.php?name=TianJinDuShi
无锡教育,http://144.48.240.144:2019/SunTv.php?name=WuXiEdu
无锡新闻,http://144.48.240.144:2019/SunTv.php?name=WuXiNews
武汉电视剧,http://144.48.240.144:2019/SunTv.php?name=WuHanDianShiJu
武汉经济,http://144.48.240.144:2019/SunTv.php?name=WuHanJingJi
武汉科技生活,http://144.48.240.144:2019/SunTv.php?name=WuHanKeJi
武汉外语,http://144.48.240.144:2019/SunTv.php?name=WuHanWaiYu
武汉文体,http://144.48.240.144:2019/SunTv.php?name=WuHanWenTi
武汉新闻综合,http://144.48.240.144:2019/SunTv.php?name=WuHanXinWen
新疆维语经济生活,http://144.48.240.144:2019/SunTv.php?name=XJTV9
新疆维语综艺,http://144.48.240.144:2019/SunTv.php?name=XJTV5
新娱乐HD,http://144.48.240.144:2019/SunTv.php?name=DongFangYuLeHD
幸福彩HD,http://144.48.240.144:2019/SunTv.php?name=XingFuCaiHD
游戏风云HD,http://144.48.240.144:2019/SunTv.php?name=YouXiFYHD
云南公共,http://144.48.240.144:2019/SunTv.php?name=YunNanPublic
云南国际,http://144.48.240.144:2019/SunTv.php?name=YunNanWorld
中国黄河,http://144.48.240.144:2019/SunTv.php?name=ChinaHuangHe
中国交通HD,http://144.48.240.144:2019/SunTv.php?name=DuShiJCHD
重庆国际,http://144.48.240.144:2019/SunTv.php?name=ChongQingWorld
浙江卫视高清,http://ivi.bupt.edu.cn/hls/zjhd.m3u8
江苏卫视高清,http://ivi.bupt.edu.cn/hls/jshd.m3u8
东方卫视高清,http://ivi.bupt.edu.cn/hls/dfhd.m3u8
北京卫视高清,http://ivi.bupt.edu.cn/hls/btv1hd.m3u8
湖南卫视高清,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8
广东卫视高清,http://ivi.bupt.edu.cn/hls/gdhd.m3u8
深圳卫视高清,http://ivi.bupt.edu.cn/hls/szhd.m3u8
北京文艺高清,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京影视高清,http://ivi.bupt.edu.cn/hls/btv4hd.m3u8
北京新闻高清,http://ivi.bupt.edu.cn/hls/btv9hd.m3u8
北京冬奥纪实高清,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
安徽卫视高清,http://ivi.bupt.edu.cn/hls/ahhd.m3u8
黑龙江卫视高清,http://ivi.bupt.edu.cn/hls/hljhd.m3u8
辽宁卫视高清,http://ivi.bupt.edu.cn/hls/lntv.m3u8
天津卫视高清,http://ivi.bupt.edu.cn/hls/tjtv.m3u8
湖北卫视高清,http://ivi.bupt.edu.cn/hls/hbhd.m3u8
山东卫视高清,http://ivi.bupt.edu.cn/hls/sdhd.m3u8
重庆卫视高清,http://ivi.bupt.edu.cn/hls/cqhd.m3u8
上海纪实高清,http://ivi.bupt.edu.cn/hls/docuchina.m3u8
金鹰纪实高清,http://ivi.bupt.edu.cn/hls/gedocu.m3u8
福建东南卫视高清,http://ivi.bupt.edu.cn/hls/dnhd.m3u8
四川卫视高清,http://ivi.bupt.edu.cn/hls/schd.m3u8
河北卫视高清,http://ivi.bupt.edu.cn/hls/hebhd.m3u8
江西卫视高清,http://ivi.bupt.edu.cn/hls/jxtv.m3u8
河南卫视高清,http://ivi.bupt.edu.cn/hls/hntv.m3u8
广西卫视高清,http://ivi.bupt.edu.cn/hls/gxhd.m3u8
吉林卫视高清,http://ivi.bupt.edu.cn/hls/jlhd.m3u8
CETV-1高清,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
海南卫视高清,http://ivi.bupt.edu.cn/hls/lyhd.m3u8
贵州卫视高清,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8
CETV-3,http://ivi.bupt.edu.cn/hls/cetv3.m3u8
CETV-4,http://ivi.bupt.edu.cn/hls/cetv4.m3u8
山东教育,http://ivi.bupt.edu.cn/hls/sdetv.m3u8
中国教育1台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
中国教育2台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
中国教育3台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
中国教育4台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
cctv-新科动画,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000083.m3u8
中央四台欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8
中央四台美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
上海外语,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/6032059665143203976/index.m3u8?channel-id=bestzb&Contentid=6032059665143203976&livemode=1&stbId=004003FF0073845968008422F153598C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=6032059665143203976&owchid=bestzb&owsid=4493204831455348962&AuthInfo=YA4rOS%2bvHMy0nLvsHt4HsSVXoucNWZezeQ1CZvg5t7CNshkWf9VYowWX1GVnyY8zSpFvHtb6TTbkqpIL3XEM%2b3o9AbE2Y0WOKcVdvVLPDe0%2ft%2b2nsJqvlnRd4z4lgCdN
第一财经,http://101.75.248.85/cache.ott.bestlive.itv.cmvideo.cn/000000001000/6617141658685778844/index.m3u8?channel-id=bestzb&Contentid=6617141658685778844&livemode=1&stbId=004003FF0027822154008422F156757C&userToken=22da83031e59d012e61af366ad30871e02vv&usergroup=g02020000000&version=1.0&owaccmark=6617141658685778844&owchid=bestzb&owsid=4493204831455414353&AuthInfo=RPq%2bCUJTuiVhAJJkLNgSa4%2bSAPCleJRU8i9OrwimXegcjV12BxOIaR0KW%2bEteVtTazzAFv%2fDZXNaCJuwQdpasFnjpZ
凤凰中文,sop://p2p.cibn.cc:80/100011
安徽卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8#http://39.135.34.8:18890/000000001000/4774346722046993363/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035639
北京卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
东方卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
东方卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8#http://39.135.34.6:18890/000000001000/1000000001000030202/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA034481
东南卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
东南卫视蓝光,http://39.135.34.11:18890/000000001000/1000000002000009263/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035575
甘肃卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000294603.m3u8
广东卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
广东卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
广西卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8#http://39.135.34.22:18890/000000001000/1000000002000019837/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA034282
贵州卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8#http://39.135.34.20:18890/000000001000/1000000002000003169/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA032847
海南卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8#http://39.135.34.22:18890/000000001000/7899627377857656087/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031881
河北卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8#http://39.135.34.15:18890/000000001000/1000000002000017118/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035309
河南卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
黑龙江卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
黑龙江卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
湖北卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
湖北卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8#http://39.135.34.16:18890/000000001000/6956052407855047826/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA037827
湖南卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
湖南卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8
吉林卫视超清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8#http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000284703.m3u8#http://39.135.34.8:18890/000000001000/6042486520432105075/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031101
江苏卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
江西卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8
江西卫视蓝光,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://39.135.34.11:18890/000000001000/1000000001000013731/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA039197
辽宁卫视超清,http://140.249.30.111/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
辽宁卫视蓝光,http://39.135.34.19:18890/000000001000/1000000002000024033/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA035171
南方卫视超清,http://39.135.34.135:18890/000000001000/1000000002000011619/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA032735
