央视,#genre#
CCTV-13,http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-15,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV-17,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CCTV-4K,http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8#http://live-wcloud-cdn.ysp.cctv.cn/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
卫视,#genre#
湖南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226241/1.m3u8
浙江卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226247/1.m3u8
东方卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226237/1.m3u8
江苏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226242/1.m3u8
北京卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
天津卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8
深圳卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226245/1.m3u8
山东卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8
湖北卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8
辽宁卫视,
安徽卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226223/1.m3u8
广东卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226238/1.m3u8
龙江卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8
东南卫视,
江西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8
重庆卫视,
四川卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8
贵州卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8
广西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225879/1.m3u8
河北卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8
河南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8
海南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8
甘肃卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8
青海卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225893/1.m3u8
山西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
云南卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225853/1.m3u8
陕西卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
吉林卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8
西藏卫视,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8
南方卫视,
珠江卫视,
无锡综合,http://live-wx.wifiwx.com/wxtv1/sd/live.m3u8
无锡都市,http://live-wx.wifiwx.com/wxtv3/sd/live.m3u8
地方,#genre#
安徽Ⅰ六安综合台,http://live.china-latv.com/channel1/sd/live.m3u8
安徽Ⅰ铜陵综合台,http://dstpush1.retalltech.com/app/stream1.m3u8
安徽Ⅰ铜陵公共台,http://dstpush1.retalltech.com/app/stream2.m3u8
安徽Ⅰ六安公共台,http://live.china-latv.com/channel2/sd/live.m3u8
安徽Ⅰ淮北公共台,http://live.0561rtv.cn/ggpd/hd/live.m3u8
安徽Ⅰ淮北综合台,http://live.0561rtv.cn/xwzh/hd/live.m3u8
江苏Ⅰ无锡综合台,http://live-wx.wifiwx.com/wxtv1/sd/live.m3u8
江苏Ⅰ无锡都市台,http://live-wx.wifiwx.com/wxtv3/sd/live.m3u8
江苏Ⅰ苏州综合台,http://player.200877926.top/17/js/suzhoum3u8.php?id=60
湖北Ⅰ荆门综合台,http://jingmen.live.cjyun.org/video/s10101-jmnews.m3u8
湖北Ⅰ随州综合台,http://suizhou.source.cjyun.org/video/s10145-szzhpd.m3u8
湖北Ⅰ随州农村台,http://suizhou.source.cjyun.org/video/s10145-szncpd.m3u8
湖北Ⅰ襄阳公共台,http://xiangyang.live.cjyun.org/video/s10125-education_hd.m3u8
湖北Ⅰ襄阳综合台,http://xiangyang.live.cjyun.org/video/s10125-news_hd/index.m3u8
湖北Ⅰ荆门公共台,http://jingmen.live.cjyun.org/video/s10101-jmggpd.m3u8
山西Ⅰ大同综合台,http://hwzbout.yunshicloud.com/p2984z/k8kl9m.m3u8
山西Ⅰ大同公共台,https://hwapi.yunshicloud.com/p2984z/239g8l.m3u8
山西Ⅰ大同生活台,https://hwapi.yunshicloud.com/p2984z/lnbwyz.m3u8
广东Ⅰ韶关综合台,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
广东Ⅰ韶关公共台,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8
广东Ⅰ佛山综合台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_zhpd.m3u8
广东Ⅰ佛山影视台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_yspd.m3u8
广东Ⅰ佛山公共台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_ggpd.m3u8
广东Ⅰ佛山顺德台,http://pili-live-rtmp.wdit.com.cn/wditlive/fs_sdpd.m3u8
四川Ⅰ达州综合台,http://m3u8.channellive.dzxw.net/cms/videos/nmip-media/channellive/channel35/playlist.m3u8
四川Ⅰ巴中公共台,https://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_247.m3u8
四川Ⅰ达州公共台,http://m3u8.channellive.dzxw.net/cms/videos/nmip-media/channellive/channel36/playlist.m3u8
四川Ⅰ攀枝花综合,http://zb.pzhgd.com:9091/live/xwzh.m3u8
四川Ⅰ泸州综合台,http://file.weblz.com.cn:6066/cms/videos/nmip-media-dz/channellive/channel3/playlist.m3u8
四川Ⅰ泸州公共台,http://file.weblz.com.cn:6066/cms/videos/nmip-media-dz/channellive/channel4/playlist.m3u8
四川Ⅰ泸州科技台,http://file.weblz.com.cn:6066/cms/videos/nmip-media-dz/channellive/channel5/playlist.m3u8
山东Ⅰ济南综合台,http://ts1.ijntv.cn/xwhd/playlist.m3u8
山东Ⅰ德州综合台,http://video.dztv.tv:1935/live/xwzh_gq/playlist.m3u8
山东Ⅰ德州公共台,http://video.dztv.tv:1935/live/dzgg_gq/playlist.m3u8
山东Ⅰ威海综合台,http://l2.weihai.tv:8081/hls/czv7gqQ091.m3u8
重庆Ⅰ万州影视台,http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
重庆Ⅰ渝北综合台,http://yubeilive.cbg.cn/ch1-3.m3u8
重庆Ⅰ渝北都市台,http://yubeilive.cbg.cn/ch0-3.m3u8
陕西Ⅰ安康综合台,http://pili-live-hls.hsyapp.sobeylingyun.com/xjhsyapp2019/sxakzhpd.m3u8
陕西Ⅰ西安新闻台,http://stream2.xiancity.cn/xatv1/sd/live.m3u8
陕西Ⅰ西安白鸽台,http://stream2.xiancity.cn/xatv2/sd/live.m3u8
陕西Ⅰ西安影视台,http://stream2.xiancity.cn/xatv4/sd/live.m3u8
陕西Ⅰ西安丝路台,http://stream2.xiancity.cn/xatv5/sd/live.m3u8
宁夏Ⅰ银川生活台,http://stream.ycgbtv.com.cn/ycxw/sd/live.m3u8
福建Ⅰ长乐电视台,http://35908.hlsplay.aodianyun.com/guangdianyun_35908/tv_channel_327.m3u8
甘肃Ⅰ酒泉综合台,http://117.156.28.57/PLTV/88888888/224/3221225837/index.m3u8
广西Ⅰ南宁综合台,http://24tl.qingk.cn/live/NNTV_NEWS_A.m3u8
海外,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#
峨眉电影,http://scgctvshow.sctv.com/hdlive/emei/1.m3u8
耀才财经, http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
凤凰卫视资讯台,http://liveali.ifeng.com/live/FHZX.flv
凤凰卫视中文台,http://112.17.40.139:80/PLTV/88888888/224/3221226368/index.m3u8
凤凰卫视香港台,http://qlive.fengshows.cn/live720p/PHK.flv?txSecret=0738ce47619ffb6578bb658b7d7927d3&txTime=16f9470cacc#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰电影台,rtmp://ivi.bupt.edu.cn:1935/livetv/fhdy
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv


